genres,id,original_title
" ,  Action,  ,  Crime,  ,  Fantasy",414,Batman Forever
" ,  Drama,  ,  Romance",649,Belle de jour
" ,  Drama,  ,  Thriller",1873,Beyond Rangoon
" ,  Comedy",5894,Blue in the Face
" ,  Action,  ,  Comedy",1775,Canadian Bacon
" ,  Fantasy,  ,  Comedy,  ,  Family",8839,Casper
" ,  Mystery,  ,  Crime,  ,  Drama",20649,Clockers
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Mystery,  ,  Science Fiction,  ,  Thriller",10329,Congo
" ,  Action,  ,  Thriller,  ,  Drama",8963,Crimson Tide
" ,  Documentary",26564,Crumb
" ,  Thriller,  ,  Action,  ,  Crime",8068,Desperado
" ,  Drama,  ,  Mystery,  ,  Thriller",8512,Devil in a Blue Dress
" ,  Action,  ,  Thriller",1572,Die Hard: With a Vengeance
" ,  Action,  ,  Comedy,  ,  Crime,  ,  Drama",13552,The Doom Generation
" ,  Drama,  ,  Crime",259209,Feast of July
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Romance",6520,First Knight
" ,  Adventure",9073,Free Willy 2 - The Adventure Home
" ,  Action,  ,  Crime,  ,  Thriller,  ,  Drama",10428,Hackers
" ,  Comedy,  ,  Drama,  ,  Romance",17447,Jeffrey
" ,  Adventure,  ,  Action,  ,  Drama,  ,  Science Fiction,  ,  Thriller",9886,Johnny Mnemonic
" ,  Science Fiction",9482,Judge Dredd
" ,  Comedy,  ,  Drama",19326,Jury Duty
" ,  Drama,  ,  Crime",9344,Kids
" ,  Drama,  ,  Comedy",9071,Living in Oblivion
" ,  Mystery,  ,  Horror,  ,  Thriller",8973,Lord of Illusions
" ,  Comedy,  ,  Drama",15730,Love & Human Remains
" ,  Drama,  ,  Family,  ,  Romance",47608,Mad Love
" ,  Romance,  ,  Comedy",2293,Mallrats
" ,  Action,  ,  Adventure,  ,  Science Fiction,  ,  Family,  ,  Fantasy",9070,Mighty Morphin Power Rangers: The Movie
" ,  Comedy,  ,  Drama,  ,  Romance",68274,Moonlight and Valentino
" ,  Thriller,  ,  Foreign",48787,Mute Witness
" ,  Horror,  ,  Thriller",34574,Nadja
" ,  Crime,  ,  Drama,  ,  Mystery,  ,  Thriller,  ,  Action",1642,The Net
" ,  Comedy",11472,Nine Months
" ,  Comedy",36196,Party Girl
" ,  Fantasy,  ,  Horror,  ,  Thriller",11980,The Prophecy
" ,  Fantasy,  ,  Comedy,  ,  Drama",58372,Reckless
" ,  Drama",32646,Safe
" ,  Drama,  ,  History,  ,  Romance",10533,The Scarlet Letter
" ,  Documentary",56088,The Show
" ,  Drama",10802,Showgirls
" ,  Comedy,  ,  Drama",10149,Smoke
" ,  Comedy",18402,Something to Talk About
" ,  Science Fiction,  ,  Horror,  ,  Action",9348,Species
" ,  Drama",139408,The Stars Fell on Henrietta
" ,  Crime,  ,  Drama,  ,  Science Fiction,  ,  Thriller",281,Strange Days
" ,  Drama,  ,  Romance",5967,Les parapluies de Cherbourg
" ,  Thriller",79593,The Tie That Binds
" ,  Drama,  ,  Fantasy",47939,Three Wishes
" ,  Drama,  ,  Romance",36834,Total Eclipse
" ,  Comedy",9090,"To Wong Foo, Thanks for Everything! Julie Newmar"
" ,  Action,  ,  Thriller",3512,Under Siege 2: Dark Territory
" ,  Comedy,  ,  Drama,  ,  Family",52856,Unstrung Heroes
" ,  Documentary",77350,Unzipped
" ,  Drama,  ,  Romance",9560,A Walk in the Clouds
" ,  Adventure,  ,  Action",9804,Waterworld
" ,  Drama",31611,White Man's Burden
" ,  Action,  ,  Western",65796,Wild Bill
" ,  Drama",49805,The Browning Version
" ,  Adventure,  ,  Action,  ,  Comedy,  ,  Crime,  ,  Family",26258,Bushwhacked
" ,  Drama",50797,Утомлённые солнцем
" ,  Drama,  ,  War",19155,Before the Rain
" ,  Drama,  ,  Romance",76,Before Sunrise
" ,  Comedy",11017,Billy Madison
" ,  Drama,  ,  Thriller",37141,The Babysitter
" ,  Comedy,  ,  Drama",9382,Boys on the Side
" ,  Drama,  ,  Family",6715,The Cure
" ,  Thriller,  ,  Drama,  ,  Horror,  ,  Mystery",18256,Castle Freak
" ,  Drama,  ,  Family,  ,  Romance",22625,Circle of Friends
" ,  Comedy",2292,Clerks
" ,  Romance,  ,  Drama,  ,  Comedy",1909,Don Juan DeMarco
" ,  Drama,  ,  Thriller,  ,  Crime,  ,  Mystery,  ,  Romance",8984,Disclosure
" ,  Thriller",61813,Dream Man
" ,  Action,  ,  Adventure,  ,  Thriller",4954,Drop Zone
" ,  Crime,  ,  Comedy,  ,  Fantasy",62488,Destiny Turns on the Radio
" ,  Drama,  ,  Thriller,  ,  Mystery",10531,Death and the Maiden
" ,  Crime,  ,  Drama,  ,  Mystery",11929,Dolores Claiborne
" ,  Comedy",8467,Dumb and Dumber
" ,  Comedy,  ,  Drama,  ,  Romance",10451,飲食男女
" ,  Drama,  ,  Mystery",20156,Exotica
" ,  Thriller,  ,  Comedy,  ,  Crime,  ,  Romance",18395,Exit to Eden
" ,  Comedy,  ,  Drama,  ,  History",522,Ed Wood
" ,  Comedy,  ,  Romance",397,French Kiss
" ,  Comedy,  ,  Drama,  ,  Romance",10525,Forget Paris
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Family",27985,Far from Home: The Adventures of Yellow Dog
" ,  Romance,  ,  Animation,  ,  Family,  ,  Comedy,  ,  Adventure",15789,A Goofy Movie
" ,  Drama,  ,  Thriller",27303,Hideaway
" ,  Drama,  ,  Family,  ,  Fantasy",21183,Fluke
" ,  History,  ,  Drama",10954,Farinelli
" ,  Drama,  ,  Family,  ,  Fantasy",47867,Gordy
" ,  Fantasy,  ,  Animation,  ,  Science Fiction,  ,  Family",43475,Gumby: The Movie
" ,  Drama,  ,  Action,  ,  Thriller,  ,  Crime",72031,The Glass Shield
" ,  Documentary",14275,Hoop Dreams
" ,  Drama,  ,  Fantasy",1024,Heavenly Creatures
" ,  Comedy,  ,  Family",17207,Houseguest
" ,  Drama,  ,  Music,  ,  Romance",13701,Immortal Beloved
" ,  Comedy,  ,  Family,  ,  Drama",14819,Heavyweights
" ,  Action,  ,  Thriller",32631,The Hunted
" ,  Comedy,  ,  Drama,  ,  Romance",11777,I.Q.
" ,  Horror,  ,  Romance",628,Interview with the Vampire
" ,  Drama,  ,  Romance",87729,Jefferson in Paris
" ,  Comedy,  ,  Crime",18713,The Jerky Boys
" ,  Comedy,  ,  Family,  ,  Romance",6280,Junior
" ,  Action,  ,  Drama,  ,  Mystery,  ,  Thriller",9061,Just Cause
" ,  Adventure,  ,  Fantasy,  ,  Comedy,  ,  Science Fiction,  ,  Family",37108,A Kid in King Arthur's Court
" ,  Action,  ,  Crime,  ,  Drama,  ,  Thriller",6071,Kiss of Death
" ,  Adventure,  ,  Action,  ,  Science Fiction",11,Star Wars
" ,  Drama,  ,  Romance",9587,Little Women
" ,  Drama,  ,  Family,  ,  Fantasy",19101,A Little Princess
" ,  Drama",49980,Ladybird Ladybird
" ,  Crime,  ,  Drama",17961,L'Enfer
" ,  Drama,  ,  Romance",18183,Como agua para chocolate
" ,  Adventure,  ,  Drama,  ,  Romance,  ,  War",4476,Legends of the Fall
" ,  Adventure,  ,  Comedy,  ,  Family",11008,Major Payne
" ,  Action,  ,  Drama",47504,Little Odessa
" ,  Crime,  ,  Drama",32325,Mi Vida Loca
" ,  Drama,  ,  Romance",43742,Love Affair
" ,  Drama",28313,Losing Isaiah
" ,  Comedy,  ,  Drama,  ,  History",11318,The Madness of King George
" ,  Drama,  ,  Horror,  ,  Science Fiction,  ,  Romance",3036,Frankenstein
" ,  Action,  ,  Comedy,  ,  Family",40490,Man of the House
" ,  Comedy,  ,  Drama,  ,  Romance",24070,Mixed Nuts
" ,  Comedy,  ,  Romance",8986,Milk Money
" ,  Fantasy,  ,  Drama,  ,  Family",10510,Miracle on 34th Street
" ,  Comedy,  ,  Romance",17402,Miami Rhapsody
" ,  Comedy,  ,  Drama",38722,My Family
" ,  Crime,  ,  Drama",8438,Murder in the First
" ,  Drama,  ,  Comedy",11593,Nobody's Fool
" ,  Drama,  ,  Thriller",1945,Nell
" ,  Crime,  ,  Drama",39310,New Jersey Drive
" ,  Action,  ,  Thriller,  ,  Crime,  ,  Drama",109560,New York Cop
" ,  Horror",56428,Beyond Bedlam
" ,  Science Fiction,  ,  Action,  ,  Thriller",63105,Nemesis 2 - Nebula
" ,  Drama,  ,  Romance",131957,Nina Takes a Lover
" ,  Crime,  ,  Thriller,  ,  Drama",241,Natural Born Killers
" ,  Comedy,  ,  Drama,  ,  Romance",9058,Only You
" ,  Drama",527,Once Were Warriors
" ,  Drama,  ,  Romance,  ,  Thriller",18220,Poison Ivy II: Lily
" ,  Action,  ,  Drama,  ,  Science Fiction,  ,  Thriller",6950,Outbreak
" ,  Thriller,  ,  Crime,  ,  Drama",101,Léon
" ,  Comedy,  ,  Drama,  ,  Romance",63020,The Perez Family
" ,  Comedy,  ,  Drama,  ,  Romance",2307,A Pyromaniac's Love Story
" ,  Thriller,  ,  Crime",680,Pulp Fiction
" ,  Drama",41478,Panther
" ,  Comedy,  ,  Drama",25296,Pushing Hands
" ,  Drama,  ,  Romance",40156,Priest
" ,  History,  ,  Drama",11450,Quiz Show
" ,  Drama,  ,  History",30304,Picture Bride
" ,  Drama,  ,  History",10452,La Reine Margot
" ,  Action,  ,  Western",12106,The Quick and the Dead
" ,  Drama,  ,  Comedy",161495,Roommates
" ,  Drama,  ,  Comedy",3586,Prêt-à-Porter
" ,  Drama,  ,  Mystery,  ,  Romance",110,Trois couleurs : Rouge
" ,  Drama,  ,  Music,  ,  Mystery",108,Trois couleurs : Bleu
" ,  Comedy,  ,  Drama,  ,  Mystery",109,Trois couleurs : Blanc
" ,  Drama",159185,Pao Da Shuang Deng
" ,  Comedy,  ,  Family,  ,  TV Movie",36357,Rent-a-Kid
" ,  Horror,  ,  Drama",92769,Relative Fear
" ,  Comedy,  ,  Drama",28033,Stuart Saves His Family
" ,  Animation",22586,The Swan Princess
" ,  Drama,  ,  Family,  ,  Fantasy",14334,The Secret of Roan Inish
" ,  Action,  ,  Thriller",2636,The Specialist
" ,  Action,  ,  Adventure,  ,  Science Fiction",2164,Stargate
" ,  Fantasy,  ,  Drama,  ,  Comedy,  ,  Family",11395,The Santa Clause
" ,  Drama,  ,  Crime",278,The Shawshank Redemption
" ,  Crime,  ,  Thriller",9905,Shallow Grave
" ,  Drama,  ,  Thriller",87078,Suture
" ,  Comedy,  ,  Drama",12527,Fresa y chocolate
" ,  Crime,  ,  Comedy",20306,Swimming with Sharks
" ,  Comedy,  ,  Drama,  ,  Romance",36614,The Sum of Us
" ,  Comedy",27993,Senior Trip
" ,  Drama,  ,  Romance,  ,  War",31439,活着
" ,  Action,  ,  Comedy,  ,  Fantasy,  ,  Science Fiction",9067,Tank Girl
" ,  Horror,  ,  Comedy,  ,  Thriller",9059,Tales from the Crypt: Demon Knight
" ,  Science Fiction,  ,  Action,  ,  Adventure,  ,  Thriller",193,Star Trek: Generations
" ,  Crime,  ,  Horror,  ,  Thriller",25066,Tales from the Hood
" ,  Drama,  ,  Romance",46797,Tom & Viv
" ,  Thriller,  ,  Horror,  ,  Science Fiction",12122,Village of the Damned
" ,  Comedy",11381,Tommy Boy
" ,  Drama,  ,  Romance",32636,Vanya on 42nd Street
" ,  Thriller,  ,  Crime",36141,The Underneath
" ,  Drama,  ,  War",95963,The Walking Dead
" ,  Romance,  ,  Drama",1587,What's Eating Gilbert Grape
" ,  Action,  ,  Crime,  ,  Science Fiction,  ,  Thriller",9271,Virtuosity
" ,  Comedy,  ,  Drama,  ,  Romance",2064,While You Were Sleeping
" ,  Drama",19855,The War
" ,  Comedy,  ,  Romance",60855,Double Happiness
" ,  Drama,  ,  Comedy,  ,  Romance",236,Muriel's Wedding
" ,  Comedy,  ,  Drama,  ,  Family",48287,The Baby-Sitters Club
" ,  Comedy,  ,  Mystery",3049,Ace Ventura: Pet Detective
" ,  Drama,  ,  Comedy",2759,"The Adventures of Priscilla, Queen of the Desert"
" ,  Drama,  ,  Music",12635,Backbeat
" ,  Thriller,  ,  Drama,  ,  Romance",10497,Bitter Moon
" ,  Action,  ,  Comedy,  ,  Thriller",11382,Bullets Over Broadway
" ,  Action,  ,  Drama,  ,  Thriller",9331,Clear and Present Danger
" ,  Drama,  ,  Thriller,  ,  Crime,  ,  Mystery",10731,The Client
" ,  Comedy,  ,  Drama,  ,  Family,  ,  Romance",10464,"Corrina, Corrina"
" ,  Comedy,  ,  Drama",34152,Crooklyn
" ,  Fantasy,  ,  Action,  ,  Thriller",9495,The Crow
" ,  Drama",29973,Cobb
" ,  Fantasy,  ,  Comedy,  ,  Family",888,The Flintstones
" ,  Comedy,  ,  Drama,  ,  Romance",13,Forrest Gump
" ,  Comedy,  ,  Drama,  ,  Romance",712,Four Weddings and a Funeral
" ,  Romance,  ,  Drama,  ,  Crime",16295,Higher Learning
" ,  Comedy,  ,  Drama,  ,  Romance",48992,I Like It Like That
" ,  Action,  ,  Comedy,  ,  Romance",10879,I Love Trouble
" ,  Comedy,  ,  Drama,  ,  Romance",10660,It Could Happen to You
" ,  Adventure,  ,  Drama,  ,  Family",10714,The Jungle Book
" ,  Documentary,  ,  Foreign",41647,Die Macht der Bilder: Leni Riefenstahl
" ,  Family,  ,  Animation,  ,  Drama",8587,The Lion King
" ,  Drama,  ,  History",1689,Little Buddha
" ,  Horror,  ,  Thriller,  ,  Mystery,  ,  Fantasy",11596,New Nightmare
" ,  Romance,  ,  Comedy,  ,  Crime,  ,  Fantasy",854,The Mask
" ,  Action,  ,  Adventure,  ,  Comedy,  ,  Drama,  ,  Western",9359,Maverick
" ,  Drama",23333,Mrs. Parker and the Vicious Circle
" ,  Comedy,  ,  Crime",36593,The Naked Gun 33⅓: The Final Insult
" ,  Comedy,  ,  Drama",12280,The Paper
" ,  Drama",2788,Reality Bites
" ,  Crime,  ,  Drama,  ,  Thriller",10427,Red Rock West
" ,  Comedy,  ,  Family",11011,Ri¢hie Ri¢h
" ,  Drama",49803,Safe Passage
" ,  Action,  ,  Adventure,  ,  Crime,  ,  Thriller",8987,The River Wild
" ,  Action,  ,  Adventure,  ,  Crime",1637,Speed
" ,  Comedy,  ,  Romance",15128,Speechless
" ,  Thriller,  ,  Science Fiction,  ,  Action,  ,  Crime",8831,Timecop
" ,  Action,  ,  Thriller",36955,True Lies
" ,  Drama,  ,  Romance",10449,When a Man Loves a Woman
" ,  Fantasy",10395,Wolf
" ,  Drama,  ,  Action,  ,  Western",12160,Wyatt Earp
" ,  Action,  ,  Crime,  ,  Romance,  ,  Thriller",40480,Bad Company
" ,  Comedy,  ,  Drama",52038,A Man of No Importance
" ,  Comedy,  ,  Drama",29444,S.F.W.
" ,  Action,  ,  Comedy,  ,  Crime",26352,A Low Down Dirty Shame
" ,  Drama",39953,"Boys Life: Three Stories of Love, Lust, and Liberation"
" ,  Drama",41580,Le colonel Chabert
" ,  Action,  ,  Crime",315,"Faster, Pussycat! Kill! Kill!"
" ,  Crime,  ,  Drama,  ,  Romance",22067,Jason's Lyric
" ,  Animation,  ,  Science Fiction",18242,The Secret Adventures of Tom Thumb
" ,  Action,  ,  Adventure,  ,  Thriller",11667,Street Fighter
" ,  Action,  ,  Comedy",32502,Coldblooded
,267188,Desert Winds
" ,  Action,  ,  Adventure,  ,  Crime,  ,  Drama,  ,  Thriller",28732,Fall Time
" ,  Horror,  ,  Thriller",75555,The Fear
" ,  Documentary",42981,Frank and Ollie
" ,  Romance,  ,  Adventure,  ,  Crime,  ,  Drama",278939,Girl in the Cadillac
" ,  Thriller,  ,  Drama",291731,Homage
" ,  Action,  ,  Thriller",226229,Mirage
" ,  Comedy",203119,Open Season
,172923,Dos Crímenes
" ,  Documentary",316098,Brother Minister: The Assassination of Malcolm X
" ,  Action,  ,  Fantasy,  ,  Science Fiction",8011,Highlander III: The Sorcerer
,171857,Federal Hill
" ,  Horror,  ,  Mystery,  ,  Thriller",2654,In the Mouth of Madness
" ,  Drama,  ,  Romance",18069,8 Seconds
" ,  Crime,  ,  Drama",19092,Above the Rim
" ,  Comedy,  ,  Family,  ,  Fantasy",2758,Addams Family Values
" ,  Comedy",38129,Martin Lawrence: You So Crazy
" ,  Drama,  ,  Romance",10436,The Age of Innocence
" ,  Comedy,  ,  Crime,  ,  Music",13595,Airheads
" ,  Comedy,  ,  Family",46094,The Air Up There
" ,  Action,  ,  Comedy",9409,Another Stakeout
" ,  Action,  ,  Adventure,  ,  Comedy,  ,  Drama,  ,  Western",11853,Bad Girls
" ,  Comedy,  ,  Drama,  ,  Romance",16771,Barcelona
" ,  Drama,  ,  Comedy,  ,  Fantasy",46924,Being Human
" ,  Comedy",11041,The Beverly Hillbillies
" ,  Action,  ,  Comedy,  ,  Crime",306,Beverly Hills Cop III
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Family",14522,Black Beauty
" ,  Mystery,  ,  Crime,  ,  Drama,  ,  Thriller",26203,Blink
" ,  Drama,  ,  Action,  ,  Thriller",178,Blown Away
" ,  Drama",19819,Blue Chips
" ,  Drama,  ,  Romance",57834,Blue Sky
" ,  Horror,  ,  Science Fiction,  ,  Thriller",4722,Body Snatchers
" ,  Drama,  ,  Romance",18215,Boxing Helena
" ,  Drama,  ,  Crime",1607,A Bronx Tale
" ,  Comedy",26391,Cabin Boy
" ,  Drama,  ,  Comedy",117553,Calendar Girl
" ,  Action,  ,  Crime,  ,  Drama,  ,  Thriller",6075,Carlito's Way
" ,  Action,  ,  Comedy,  ,  Drama,  ,  Western",11310,City Slickers II: The Legend of Curly's Gold
" ,  Comedy,  ,  Thriller,  ,  Mystery",18658,Clean Slate
" ,  Action,  ,  Adventure,  ,  Thriller",9350,Cliffhanger
" ,  Comedy,  ,  Science Fiction,  ,  Family",9612,Coneheads
" ,  Drama,  ,  Mystery,  ,  Romance,  ,  Thriller",2124,Color of Night
" ,  Action,  ,  Comedy,  ,  Family",26261,Cops & Robbersons
" ,  Western,  ,  Action,  ,  Comedy",19176,The Cowboy Way
" ,  Drama",49299,Dangerous Game
" ,  Comedy",11566,Dave
" ,  Comedy,  ,  Drama",9571,Dazed and Confused
" ,  Crime,  ,  Action,  ,  Science Fiction",9739,Demolition Man
" ,  Documentary",24257,The Endless Summer 2
" ,  Western,  ,  Drama,  ,  Comedy,  ,  Romance",34444,Even Cowgirls Get the Blues
" ,  Comedy",26141,Fatal Instinct
" ,  Drama",10997,霸王别姬
" ,  Drama,  ,  Comedy,  ,  Romance",50463,The Favor
" ,  Drama",10443,Fearless
